TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	12/11/29
TIME	14:21:58
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  450.0000
LASTX	  650.0000
NPOINTS	     201
FIRSTY	     1.13084
MAXY	     1.18497
MINY	    -0.05291
XYDATA
450.0000	1.13084
451.0000	1.12802
452.0000	1.12379
453.0000	1.11972
454.0000	1.10788
455.0000	1.11325
456.0000	1.11062
457.0000	1.11852
458.0000	1.10251
459.0000	1.09571
460.0000	1.10441
461.0000	1.12402
462.0000	1.13186
463.0000	1.13024
464.0000	1.14098
465.0000	1.1398
466.0000	1.15947
467.0000	1.17425
468.0000	1.17757
469.0000	1.17558
470.0000	1.1719
471.0000	1.18497
472.0000	1.17906
473.0000	1.18313
474.0000	1.1825
475.0000	1.17195
476.0000	1.16413
477.0000	1.16926
478.0000	1.15877
479.0000	1.13134
480.0000	1.13525
481.0000	1.14876
482.0000	1.13252
483.0000	1.12209
484.0000	1.101
485.0000	1.08811
486.0000	1.06327
487.0000	1.05868
488.0000	1.04067
489.0000	1.01627
490.0000	0.999801
491.0000	0.979099
492.0000	0.961682
493.0000	0.964119
494.0000	0.967016
495.0000	0.94776
496.0000	0.93897
497.0000	0.945708
498.0000	0.925727
499.0000	0.933799
500.0000	0.931807
501.0000	0.917742
502.0000	0.906502
503.0000	0.907837
504.0000	0.921678
505.0000	0.913631
506.0000	0.878484
507.0000	0.857966
508.0000	0.845376
509.0000	0.820214
510.0000	0.793822
511.0000	0.75804
512.0000	0.723848
513.0000	0.686812
514.0000	0.673125
515.0000	0.658433
516.0000	0.62369
517.0000	0.609665
518.0000	0.602725
519.0000	0.592544
520.0000	0.576892
521.0000	0.570684
522.0000	0.557821
523.0000	0.553523
524.0000	0.548841
525.0000	0.538071
526.0000	0.515126
527.0000	0.501054
528.0000	0.474873
529.0000	0.457306
530.0000	0.439791
531.0000	0.419087
532.0000	0.419502
533.0000	0.411022
534.0000	0.413783
535.0000	0.390329
536.0000	0.384718
537.0000	0.384812
538.0000	0.381196
539.0000	0.376905
540.0000	0.362711
541.0000	0.250702
542.0000	0.226765
543.0000	0.218874
544.0000	0.220387
545.0000	0.209945
546.0000	0.201443
547.0000	0.200048
548.0000	0.194157
549.0000	0.193331
550.0000	0.190592
551.0000	0.180027
552.0000	0.168167
553.0000	0.159421
554.0000	0.154313
555.0000	0.145884
556.0000	0.140486
557.0000	0.128595
558.0000	0.126719
559.0000	0.119537
560.0000	0.123155
561.0000	0.117343
562.0000	0.108847
563.0000	0.099753
564.0000	0.0964404
565.0000	0.0958294
566.0000	0.0832788
567.0000	0.0791041
568.0000	0.0644421
569.0000	0.0604572
570.0000	0.062492
571.0000	0.0662447
572.0000	0.0611204
573.0000	0.0566246
574.0000	0.0602779
575.0000	0.0581356
576.0000	0.0599295
577.0000	0.0628561
578.0000	0.0573165
579.0000	0.0581138
580.0000	0.0634341
581.0000	0.0599194
582.0000	0.0599947
583.0000	0.058169
584.0000	0.0558374
585.0000	0.0477562
586.0000	0.0464329
587.0000	0.0400829
588.0000	0.0337254
589.0000	0.0304991
590.0000	0.0228408
591.0000	0.0185463
592.0000	0.00921676
593.0000	0.00366108
594.0000	0.000280273
595.0000	-0.000231147
596.0000	-0.00370107
597.0000	-0.0030782
598.0000	-0.00556036
599.0000	-0.00677942
600.0000	-0.00907039
601.0000	-0.0106176
602.0000	-0.00895638
603.0000	-0.0118298
604.0000	-0.0123588
605.0000	-0.0213125
606.0000	-0.0260637
607.0000	-0.0294267
608.0000	-0.0290077
609.0000	-0.0336188
610.0000	-0.0360641
611.0000	-0.0377928
612.0000	-0.0385189
613.0000	-0.0315006
614.0000	-0.0313711
615.0000	-0.0318088
616.0000	-0.031978
617.0000	-0.0264525
618.0000	-0.0232574
619.0000	-0.0200747
620.0000	-0.018272
621.0000	-0.0174236
622.0000	-0.0191061
623.0000	-0.0185211
624.0000	-0.0167243
625.0000	-0.0190012
626.0000	-0.0229338
627.0000	-0.027255
628.0000	-0.029909
629.0000	-0.0287651
630.0000	-0.0289299
631.0000	-0.0297416
632.0000	-0.0328223
633.0000	-0.0301098
634.0000	-0.032668
635.0000	-0.0272982
636.0000	-0.0308204
637.0000	-0.0353628
638.0000	-0.0355839
639.0000	-0.0414801
640.0000	-0.0436428
641.0000	-0.0470029
642.0000	-0.0456766
643.0000	-0.0513288
644.0000	-0.049576
645.0000	-0.0529118
646.0000	-0.0507242
647.0000	-0.0480999
648.0000	-0.0494937
649.0000	-0.0488174
650.0000	-0.0441024

##### Extended Information
[コメント情報]
試料名
コメント
測定者
所属
会社	日本分光株式会社

[データ情報]
作成日時	2012/11/29 14:21

データタイプ	等間隔データ
横軸	Wavelength [nm]
縦軸	Int.
スタート	450 nm
エンド	650 nm
データ間隔	1 nm
データ数	201     

[測定情報]
機種名	FP-8200
シリアル番号	C009661448
  Ex側フォルダ	なし
  Em側フォルダ	なし

付属品名	SCE-845
付属品シリアルNo.	C009661448

測定日時	2012/11/29 14:21

測定モード	蛍光
励起側バンド幅	2.5 nm
蛍光側バンド幅	2.5 nm
レスポンス	0.5 sec
感度	Medium
測定範囲	450 - 650 nm
データ取込間隔	1 nm
励起波長	433.0 nm
走査速度	1000 nm/min
オートゲイン	Off
光源	キセノンランプ
フィルタ	交換時にスキャンを停止する
ブランク補正	Off

