TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	12/12/07
TIME	10:30:20
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  450.0000
LASTX	  650.0000
NPOINTS	     201
FIRSTY	     1.23534
MAXY	     1.30738
MINY	    -0.06427
XYDATA
450.0000	1.23534
451.0000	1.23385
452.0000	1.23059
453.0000	1.22868
454.0000	1.22049
455.0000	1.22847
456.0000	1.21991
457.0000	1.23833
458.0000	1.25652
459.0000	1.24385
460.0000	1.24208
461.0000	1.25734
462.0000	1.27169
463.0000	1.26219
464.0000	1.25478
465.0000	1.25729
466.0000	1.24906
467.0000	1.26166
468.0000	1.25775
469.0000	1.25721
470.0000	1.25551
471.0000	1.25629
472.0000	1.27299
473.0000	1.27223
474.0000	1.2722
475.0000	1.26641
476.0000	1.28366
477.0000	1.28382
478.0000	1.29102
479.0000	1.305
480.0000	1.30738
481.0000	1.28077
482.0000	1.2756
483.0000	1.24701
484.0000	1.23281
485.0000	1.21442
486.0000	1.20107
487.0000	1.16599
488.0000	1.14022
489.0000	1.12629
490.0000	1.11998
491.0000	1.11057
492.0000	1.09882
493.0000	1.10738
494.0000	1.10078
495.0000	1.10136
496.0000	1.07774
497.0000	1.08264
498.0000	1.06343
499.0000	1.06455
500.0000	1.05415
501.0000	1.04715
502.0000	1.01985
503.0000	1.00944
504.0000	0.992577
505.0000	0.983176
506.0000	0.964047
507.0000	0.945503
508.0000	0.931955
509.0000	0.906341
510.0000	0.896758
511.0000	0.878871
512.0000	0.850088
513.0000	0.808013
514.0000	0.785423
515.0000	0.74116
516.0000	0.712558
517.0000	0.666686
518.0000	0.645236
519.0000	0.629496
520.0000	0.618708
521.0000	0.606495
522.0000	0.592311
523.0000	0.58418
524.0000	0.563413
525.0000	0.54653
526.0000	0.520621
527.0000	0.492188
528.0000	0.478899
529.0000	0.479949
530.0000	0.461564
531.0000	0.436592
532.0000	0.425377
533.0000	0.424698
534.0000	0.433039
535.0000	0.423673
536.0000	0.397858
537.0000	0.371844
538.0000	0.356545
539.0000	0.359839
540.0000	0.349044
541.0000	0.27551
542.0000	0.258372
543.0000	0.262298
544.0000	0.254362
545.0000	0.233258
546.0000	0.226936
547.0000	0.217058
548.0000	0.198112
549.0000	0.192218
550.0000	0.179328
551.0000	0.154471
552.0000	0.137476
553.0000	0.139576
554.0000	0.130329
555.0000	0.130393
556.0000	0.13372
557.0000	0.117788
558.0000	0.115863
559.0000	0.115905
560.0000	0.119867
561.0000	0.116183
562.0000	0.117163
563.0000	0.108657
564.0000	0.103153
565.0000	0.104592
566.0000	0.101804
567.0000	0.0954273
568.0000	0.0920462
569.0000	0.0847716
570.0000	0.0775192
571.0000	0.0813277
572.0000	0.0739511
573.0000	0.073478
574.0000	0.0667159
575.0000	0.0635109
576.0000	0.0600384
577.0000	0.0567198
578.0000	0.0566851
579.0000	0.0453268
580.0000	0.0473697
581.0000	0.0452416
582.0000	0.0428329
583.0000	0.0399153
584.0000	0.0393416
585.0000	0.0330904
586.0000	0.0222413
587.0000	0.0178817
588.0000	0.0124935
589.0000	0.0136449
590.0000	0.0173378
591.0000	0.0129651
592.0000	0.000994505
593.0000	-0.000553819
594.0000	0.00414949
595.0000	0.00201527
596.0000	0.0041552
597.0000	-0.00215524
598.0000	-0.0076753
599.0000	-0.0112307
600.0000	-0.00631724
601.0000	-0.00730809
602.0000	-0.011299
603.0000	-0.0112652
604.0000	-0.0162454
605.0000	-0.0196382
606.0000	-0.0221901
607.0000	-0.0272267
608.0000	-0.0322008
609.0000	-0.0325635
610.0000	-0.028476
611.0000	-0.0279118
612.0000	-0.0296271
613.0000	-0.0292023
614.0000	-0.0314859
615.0000	-0.0275699
616.0000	-0.0251373
617.0000	-0.0302683
618.0000	-0.0390884
619.0000	-0.0408901
620.0000	-0.0427714
621.0000	-0.0424972
622.0000	-0.041018
623.0000	-0.0422979
624.0000	-0.0463133
625.0000	-0.045105
626.0000	-0.0451763
627.0000	-0.0430703
628.0000	-0.0370495
629.0000	-0.0355481
630.0000	-0.0394953
631.0000	-0.0390613
632.0000	-0.0376174
633.0000	-0.0385861
634.0000	-0.0384608
635.0000	-0.0377436
636.0000	-0.0442448
637.0000	-0.0532136
638.0000	-0.0557424
639.0000	-0.0562727
640.0000	-0.0575833
641.0000	-0.0589082
642.0000	-0.0603654
643.0000	-0.0636754
644.0000	-0.064267
645.0000	-0.059142
646.0000	-0.0519872
647.0000	-0.0522332
648.0000	-0.052738
649.0000	-0.053196
650.0000	-0.0500218

##### Extended Information
[コメント情報]
試料名
コメント
測定者
所属
会社	日本分光株式会社

[データ情報]
作成日時	2012/12/07 10:30

データタイプ	等間隔データ
横軸	Wavelength [nm]
縦軸	Int.
スタート	450 nm
エンド	650 nm
データ間隔	1 nm
データ数	201     

[測定情報]
機種名	FP-8200
シリアル番号	C009661448
  Ex側フォルダ	なし
  Em側フォルダ	なし

付属品名	SCE-845
付属品シリアルNo.	C009661448

測定日時	2012/12/07 10:30

測定モード	蛍光
励起側バンド幅	2.5 nm
蛍光側バンド幅	2.5 nm
レスポンス	0.5 sec
感度	Medium
測定範囲	450 - 650 nm
データ取込間隔	1 nm
励起波長	433.0 nm
走査速度	1000 nm/min
オートゲイン	Off
光源	キセノンランプ
フィルタ	交換時にスキャンを停止する
ブランク補正	Off

